id,case_number,date,iucr,primary_type,fbi_code,fbi_description,address
12414142,JE290090,2021-07-05T01:32:00Z,143A,WEAPONS VIOLATION,15,Weapons Violation,"008XX N CAMBRIDGE AVE, CHICAGO IL"
10922881,JA236953,2017-04-24T15:29:00Z,143A,WEAPONS VIOLATION,15,Weapons Violation,"062XX S LAWNDALE AVE, CHICAGO IL"
11492083,JB496003,2018-10-30T13:30:00Z,0810,THEFT,06,Larceny (index),"048XX N FRANCISCO AVE, CHICAGO IL"
11454486,JB446379,2018-09-20T23:30:00Z,1150,DECEPTIVE PRACTICE,11,Fraud,"003XX E ILLINOIS ST, CHICAGO IL"
12221046,JD431179,2020-11-14T07:00:00Z,0810,THEFT,06,Larceny (index),"047XX W 79TH ST, CHICAGO IL"
11982803,JD153657,2020-02-16T15:22:00Z,0486,BATTERY,08B,Simple Battery (index),"080XX S EXCHANGE AVE, CHICAGO IL"
10850880,JA155216,2017-02-12T23:00:00Z,1750,OFFENSE INVOLVING CHILDREN,20,Offenses Against Family,"083XX S KINGSTON AVE, CHICAGO IL"
11601999,JC159911,2019-02-21T02:18:00Z,1320,CRIMINAL DAMAGE,14,Vandalism,"035XX W GRAND AVE, CHICAGO IL"
11838767,JC445898,2019-09-19T13:00:00Z,0930,MOTOR VEHICLE THEFT,07,Motor Vehicle Theft (index),"050XX W CRYSTAL ST, CHICAGO IL"
12765585,JF323015,2022-07-19T13:35:00Z,0486,BATTERY,08B,Simple Battery (index),"009XX N SPRINGFIELD AVE, CHICAGO IL"
11438401,JB424986,2018-09-05T10:00:00Z,0820,THEFT,06,Larceny (index),"023XX N MENARD AVE, CHICAGO IL"
11684064,JC259439,2019-05-12T01:30:00Z,1150,DECEPTIVE PRACTICE,11,Fraud,"032XX N CLARK ST, CHICAGO IL"
12902520,JF483424,2022-11-22T06:58:00Z,1310,CRIMINAL DAMAGE,14,Vandalism,"004XX N WABASH AVE, CHICAGO IL"
12127703,JD322955,2020-08-05T20:15:00Z,0560,ASSAULT,08A,Simple Assult (index),"004XX N COLUMBUS DR, CHICAGO IL"
11827613,JC432445,2019-09-14T03:00:00Z,2820,OTHER OFFENSE,08A,Simple Assult (index),"070XX S CHAPPEL AVE, CHICAGO IL"
11736149,JC322597,2019-06-26T14:40:00Z,0810,THEFT,06,Larceny (index),"068XX S HARPER AVE, CHICAGO IL"
11422006,JB403615,2018-08-22T07:00:00Z,0496,BATTERY,04B,Aggravated Battery (index),"080XX S JUSTINE ST, CHICAGO IL"
12721091,JF269022,2022-06-06T02:11:00Z,143A,WEAPONS VIOLATION,15,Weapons Violation,"008XX W ROSCOE ST, CHICAGO IL"
12289702,JE137365,2021-02-10T02:14:00Z,0486,BATTERY,08B,Simple Battery (index),"054XX W BRYN MAWR AVE, CHICAGO IL"
11740111,JC327580,2019-06-29T20:00:00Z,0820,THEFT,06,Larceny (index),"0000X E CHICAGO AVE, CHICAGO IL"
11849031,JC455584,2019-10-01T17:01:00Z,0560,ASSAULT,08A,Simple Assult (index),"038XX S MICHIGAN AVE, CHICAGO IL"
12384970,JE253899,2021-06-04T23:13:00Z,041A,BATTERY,04B,Aggravated Battery (index),"112XX S STEWART AVE, CHICAGO IL"
11445080,JB433812,2018-09-13T17:00:00Z,0820,THEFT,06,Larceny (index),"017XX E 79TH ST, CHICAGO IL"
12530221,JE432023,2021-11-03T00:00:00Z,1320,CRIMINAL DAMAGE,14,Vandalism,"075XX S ST LAWRENCE AVE, CHICAGO IL"
10966954,JA289938,2017-06-02T23:30:00Z,1821,NARCOTICS,18,Drug Abuse,"0000X S LEAMINGTON AVE, CHICAGO IL"
11966002,JD133045,2020-01-29T18:00:00Z,1365,CRIMINAL TRESPASS,26,Misc Non-Index Offense,"066XX S CAMPBELL AVE, CHICAGO IL"
12287031,JE133819,2021-02-06T06:05:00Z,0880,THEFT,06,Larceny (index),"046XX N PULASKI RD, CHICAGO IL"
11241642,JB166693,2018-02-27T02:00:00Z,0560,ASSAULT,08A,Simple Assult (index),"044XX S CHRISTIANA AVE, CHICAGO IL"
12018329,JD195868,2020-03-22T10:00:00Z,0820,THEFT,06,Larceny (index),"080XX S EBERHART AVE, CHICAGO IL"
11122142,JA473292,2017-10-16T18:47:00Z,0460,BATTERY,08B,Simple Battery (index),"075XX S STONY ISLAND AVE, CHICAGO IL"
12541520,JE445592,2021-11-12T20:30:00Z,2826,OTHER OFFENSE,26,Misc Non-Index Offense,"004XX E 88TH ST, CHICAGO IL"
11184350,JA558387,2017-12-21T12:25:00Z,0820,THEFT,06,Larceny (index),"021XX S MILLARD AVE, CHICAGO IL"
11430007,JB414062,2018-08-29T22:30:00Z,2093,NARCOTICS,18,Drug Abuse,"014XX W 63RD ST, CHICAGO IL"
12488661,JE380349,2021-09-12T05:00:00Z,0890,THEFT,06,Larceny (index),"054XX N KENMORE AVE, CHICAGO IL"
11082215,JA424636,2017-09-09T16:26:00Z,0860,THEFT,06,Larceny (index),"031XX W 26TH ST, CHICAGO IL"
12669561,JF206511,2022-04-12T01:30:00Z,0820,THEFT,06,Larceny (index),"069XX S WENTWORTH AVE, CHICAGO IL"
11314063,JB262190,2018-05-13T22:40:00Z,0860,THEFT,06,Larceny (index),"031XX W LAWRENCE AVE, CHICAGO IL"
12355701,JE218173,2021-05-03T16:00:00Z,0890,THEFT,06,Larceny (index),"081XX S HERMITAGE AVE, CHICAGO IL"
11826932,JC431572,2019-09-13T14:30:00Z,1320,CRIMINAL DAMAGE,14,Vandalism,"059XX W MIDWAY PARK, CHICAGO IL"
12835960,JF406474,2022-09-22T17:50:00Z,051A,ASSAULT,04A,Aggravated Assault (index),"067XX S JEFFERY BLVD, CHICAGO IL"
11643286,JC210055,2019-04-03T07:40:00Z,0890,THEFT,06,Larceny (index),"002XX E ONTARIO ST, CHICAGO IL"
11058645,JA395916,2017-08-17T22:00:00Z,0610,BURGLARY,05,Burglary (index),"033XX N KILPATRICK AVE, CHICAGO IL"
12150791,JD349844,2020-08-30T01:30:00Z,1320,CRIMINAL DAMAGE,14,Vandalism,"101XX S LONGWOOD DR, CHICAGO IL"
11712039,JC293126,2019-06-05T16:55:00Z,0860,THEFT,06,Larceny (index),"053XX N BROADWAY, CHICAGO IL"
12079728,JD266190,2020-06-16T19:00:00Z,2826,OTHER OFFENSE,26,Misc Non-Index Offense,"040XX W MELROSE ST, CHICAGO IL"
12444960,JE327865,2021-08-06T09:48:00Z,0326,ROBBERY,03,Robbery (index),"001XX E ONTARIO ST, CHICAGO IL"
10847204,JA150929,2017-02-12T19:15:00Z,1320,CRIMINAL DAMAGE,14,Vandalism,"085XX S PEORIA ST, CHICAGO IL"
12539484,JE443420,2021-11-13T08:26:00Z,051A,ASSAULT,04A,Aggravated Assault (index),"079XX S BENNETT AVE, CHICAGO IL"
11689510,JC265939,2019-05-16T23:00:00Z,0820,THEFT,06,Larceny (index),"051XX S KEATING AVE, CHICAGO IL"
12054044,JD234528,2020-05-17T00:00:00Z,2820,OTHER OFFENSE,08A,Simple Assult (index),"027XX W 66TH ST, CHICAGO IL"
11852116,JC461842,2019-10-06T08:15:00Z,0560,ASSAULT,08A,Simple Assult (index),"002XX W ERIE ST, CHICAGO IL"
12016784,JD194176,2020-03-18T16:30:00Z,0820,THEFT,06,Larceny (index),"020XX S MICHIGAN AVE, CICERO IL"
11589714,JC144988,2019-02-08T20:00:00Z,0820,THEFT,06,Larceny (index),"011XX W FULTON MARKET, CHICAGO IL"
11748788,JC338017,2019-07-07T05:01:00Z,0486,BATTERY,08B,Simple Battery (index),"004XX N DRAKE AVE, CHICAGO IL"
12572228,JE483032,2021-12-20T00:30:00Z,0910,MOTOR VEHICLE THEFT,07,Motor Vehicle Theft (index),"029XX N BROADWAY, CHICAGO IL"
12731946,JF282164,2022-06-14T23:00:00Z,1150,DECEPTIVE PRACTICE,11,Fraud,"007XX S LYTLE ST, CHICAGO IL"
12265971,JE108619,2021-01-10T13:20:00Z,143A,WEAPONS VIOLATION,15,Weapons Violation,"001XX S PAULINA ST, CHICAGO IL"
12037773,JD217549,2020-04-26T16:06:00Z,0560,ASSAULT,08A,Simple Assult (index),"029XX S LYMAN ST, CHICAGO IL"
11047614,JA382800,2017-08-08T19:22:00Z,1821,NARCOTICS,18,Drug Abuse,"057XX S MAY ST, CHICAGO IL"
11133355,JA490662,2017-10-29T02:00:00Z,0910,MOTOR VEHICLE THEFT,07,Motor Vehicle Theft (index),"015XX N LAWNDALE AVE, CHICAGO IL"
11996997,JD171198,2020-03-02T16:26:00Z,2825,OTHER OFFENSE,26,Misc Non-Index Offense,"013XX W 76TH ST, CHICAGO IL"
12929467,JF518289,2022-12-21T03:00:00Z,1310,CRIMINAL DAMAGE,14,Vandalism,"058XX W IRVING PARK RD, CHICAGO IL"
12052606,JD234643,2020-05-17T06:51:00Z,1477,WEAPONS VIOLATION,15,Weapons Violation,"035XX W 66TH ST, SKOIE IL"
10952843,JA272981,2017-05-20T23:45:00Z,0890,THEFT,06,Larceny (index),"0000X E GRAND AVE, CHICAGO IL"
11377721,JB346486,2018-07-12T16:00:00Z,1320,CRIMINAL DAMAGE,14,Vandalism,"083XX S STEWART AVE, CHICAGO IL"
11290657,JB231097,2018-04-20T14:59:00Z,4386,OTHER OFFENSE,26,Misc Non-Index Offense,"0000X W WASHINGTON ST, CHICAGO IL"
11703042,JC282195,2019-05-28T21:42:00Z,0810,THEFT,06,Larceny (index),"046XX S DAMEN AVE, CHICAGO IL"
12873653,JF451770,2022-10-03T22:00:00Z,1210,DECEPTIVE PRACTICE,11,Fraud,"013XX N LAWNDALE AVE, CHICAGO IL"
11787565,JC384494,2019-08-08T22:30:00Z,0320,ROBBERY,03,Robbery (index),"062XX S COTTAGE GROVE AVE, CHICAGO IL"
11495937,JB501019,2018-10-28T22:30:00Z,0820,THEFT,06,Larceny (index),"109XX S BUFFALO AVE, CHICAGO IL"
12867034,JF443813,2022-10-22T01:02:00Z,041A,BATTERY,04B,Aggravated Battery (index),"035XX S RICHMOND ST, CHICAGO IL"
12878903,JF458096,2022-11-01T15:00:00Z,2820,OTHER OFFENSE,08A,Simple Assult (index),"086XX S TRIPP AVE, CHICAGO IL"
11378252,JB347160,2018-07-13T00:30:00Z,1310,CRIMINAL DAMAGE,14,Vandalism,"074XX N WESTERN AVE, CHICAGO IL"
11417341,JB397662,2018-08-17T12:00:00Z,0610,BURGLARY,05,Burglary (index),"046XX S LANGLEY AVE, CHICAGO IL"
11133761,JA491186,2017-10-29T22:30:00Z,0910,MOTOR VEHICLE THEFT,07,Motor Vehicle Theft (index),"050XX W GLADYS AVE, CHICAGO IL"
11050114,JA385875,2017-08-10T22:36:00Z,1350,CRIMINAL TRESPASS,26,Misc Non-Index Offense,"045XX S WABASH AVE, CHICAGO IL"
11961573,JD127090,2020-01-24T19:45:00Z,0860,THEFT,06,Larceny (index),"0000X S HALSTED ST, CHICAGO IL"
11703913,JC280607,2017-01-31T13:00:00Z,1753,OFFENSE INVOLVING CHILDREN,02,Criminal Sexual Assualt (index),"014XX N ARTESIAN AVE, CHICAGO IL"
11240761,JB165515,2018-02-26T07:30:00Z,1310,CRIMINAL DAMAGE,14,Vandalism,"058XX W DAKIN ST, CHICAGO IL"
11818195,JC420919,2019-09-05T14:20:00Z,0860,THEFT,06,Larceny (index),"075XX N CLARK ST, CHICAGO IL"
11243378,JB168900,2018-02-27T22:30:00Z,1320,CRIMINAL DAMAGE,14,Vandalism,"076XX S UNION AVE, CHICAGO IL"
11288550,JB228169,2018-04-18T12:00:00Z,0460,BATTERY,08B,Simple Battery (index),"047XX W POLK ST, CHICAGO IL"
11515731,JB527110,2018-11-24T03:00:00Z,0810,THEFT,06,Larceny (index),"010XX W ALBION AVE, CHICAGO IL"
11303574,JB248316,2018-05-02T23:30:00Z,0910,MOTOR VEHICLE THEFT,07,Motor Vehicle Theft (index),"039XX N NEW ENGLAND AVE, CHICAGO IL"
11187024,JA562071,2017-12-24T22:00:00Z,0890,THEFT,06,Larceny (index),"004XX N MICHIGAN AVE, CHICAGO IL"
12039367,JD217919,2020-04-24T23:00:00Z,0820,THEFT,06,Larceny (index),"047XX W ALTGELD ST, CHICAGO IL"
11524492,JB538345,2018-11-27T18:00:00Z,0820,THEFT,06,Larceny (index),"009XX N ASHLAND AVE, CHICAGO IL"
12686858,JF227286,2022-05-02T13:00:00Z,0810,THEFT,06,Larceny (index),"074XX S PRAIRIE AVE, CHICAGO IL"
11707419,JC287809,2019-05-31T21:45:00Z,0890,THEFT,06,Larceny (index),"0000X W WACKER DR, CHICAGO IL"
11639151,JC205022,2019-03-30T10:30:00Z,1478,CONCEALED CARRY LICENSE VIOLATION,15,Weapons Violation,"0000X W CHECKPOINT 6 ST, CHICAGO IL"
10870505,JA177158,2017-03-06T20:30:00Z,0460,BATTERY,08B,Simple Battery (index),"035XX E 114TH ST, CHICAGO IL"
11830637,JC436150,2019-09-15T20:30:00Z,0860,THEFT,06,Larceny (index),"006XX N MICHIGAN AVE, CHICAGO IL"
11388137,JB358698,2018-07-21T07:50:00Z,0610,BURGLARY,05,Burglary (index),"019XX W PETERSON AVE, CHICAGO IL"
11210921,JB125462,2018-01-22T21:10:00Z,0486,BATTERY,08B,Simple Battery (index),"043XX W MAYPOLE AVE, CHICAGO IL"
11793176,JC391205,2019-08-13T22:45:00Z,0560,ASSAULT,08A,Simple Assult (index),"028XX N ASHLAND AVE, CHICAGO IL"
11473648,JB471677,2018-10-11T20:32:00Z,2024,NARCOTICS,18,Drug Abuse,"015XX W 63RD ST, CHICAGO IL"
12523008,JE413881,2021-10-18T18:35:00Z,0520,ASSAULT,04A,Aggravated Assault (index),"008XX N SACRAMENTO BLVD, CHICAGO IL"
11389239,JB361473,2018-07-23T14:45:00Z,0860,THEFT,06,Larceny (index),"0000X S STATE ST, CHICAGO IL"
12158610,JD359532,2020-09-07T17:20:00Z,2022,NARCOTICS,18,Drug Abuse,"037XX W CHICAGO AVE, CHICAGO IL"
10912393,JA225170,2017-04-14T21:00:00Z,1320,CRIMINAL DAMAGE,14,Vandalism,"091XX S ABERDEEN ST, CHICAGO IL"
12951186,JG114663,2022-12-29T15:00:00Z,1154,DECEPTIVE PRACTICE,11,Fraud,"054XX N LINCOLN AVE, CHICAGO IL"
11734037,JC320321,2019-05-16T14:14:00Z,2820,OTHER OFFENSE,08A,Simple Assult (index),"057XX S CAMPBELL AVE, CHICAGO IL"
12106022,JD297346,2020-07-13T20:48:00Z,0820,THEFT,06,Larceny (index),"004XX W 28TH ST, CHICAGO IL"
11540758,JB560305,2018-12-19T21:45:00Z,0820,THEFT,06,Larceny (index),"057XX S RICHMOND ST, CHICAGO IL"
12764991,JF322458,2022-07-18T20:00:00Z,0460,BATTERY,08B,Simple Battery (index),"063XX S JUSTINE ST, SKOIE IL"
11094678,JA440398,2017-09-21T15:30:00Z,0486,BATTERY,08B,Simple Battery (index),"029XX W 63RD ST, CHICAGO IL"
12330622,JE187620,2021-04-03T00:15:00Z,1310,CRIMINAL DAMAGE,14,Vandalism,"078XX S RIDGELAND AVE, CHICAGO IL"
12758254,JF314084,2022-07-12T03:08:00Z,1320,CRIMINAL DAMAGE,14,Vandalism,"092XX S PAXTON AVE, CHICAGO IL"
12492176,JE385279,2021-09-24T11:02:00Z,1220,DECEPTIVE PRACTICE,11,Fraud,"0000X N MICHIGAN AVE, CHICAGO IL"
10948913,JA268487,2017-05-17T14:00:00Z,2820,OTHER OFFENSE,26,Misc Non-Index Offense,"055XX W ADAMS ST, CHICAGO IL"
12797335,JF359662,2022-08-16T23:15:00Z,0860,THEFT,06,Larceny (index),"016XX W DIVISION ST, CHICAGO IL"
11824914,JC429220,2019-09-11T21:00:00Z,1130,DECEPTIVE PRACTICE,11,Fraud,"002XX E CHESTNUT ST, CHICAGO IL"
12162069,JD363069,2020-09-10T22:10:00Z,0460,BATTERY,08B,Simple Battery (index),"007XX N MICHIGAN AVE, CHICAGO IL"
11089753,JA434190,2017-09-16T23:45:00Z,0820,THEFT,06,Larceny (index),"111XX S ST LAWRENCE AVE, CHICAGO IL"
11438499,JB425183,2018-08-31T12:00:00Z,0497,BATTERY,04B,Aggravated Battery (index),"033XX W MADISON ST, CHICAGO IL"
11284957,JB223420,2018-04-12T23:30:00Z,0820,THEFT,06,Larceny (index),"010XX N HERMITAGE AVE, CHICAGO IL"
11397664,JB372460,2018-07-31T08:00:00Z,0820,THEFT,06,Larceny (index),"0000X W 26TH ST, CHICAGO IL"
11249634,JB176760,2018-03-07T14:40:00Z,0460,BATTERY,08B,Simple Battery (index),"082XX S HOUSTON AVE, CHICAGO IL"
11529332,JB545129,2018-12-08T19:39:00Z,143A,WEAPONS VIOLATION,15,Weapons Violation,"008XX E 89TH PL, CHICAGO IL"
12777623,JF337468,2022-07-30T04:30:00Z,0820,THEFT,06,Larceny (index),"003XX E RANDOLPH ST, CHICAGO IL"
11810385,JC411784,2019-08-29T01:00:00Z,0820,THEFT,06,Larceny (index),"041XX S DREXEL BLVD, CHICAGO IL"
12496637,JE389923,2021-09-28T02:35:00Z,1153,DECEPTIVE PRACTICE,11,Fraud,"002XX W 108TH PL, CHICAGO IL"
11939919,JD102237,2020-01-01T07:30:00Z,0890,THEFT,06,Larceny (index),"0000X N WACKER DR, CHICAGO IL"
12365546,JE229532,2021-05-13T18:13:00Z,0860,THEFT,06,Larceny (index),"004XX N MICHIGAN AVE, CHICAGO IL"
11710986,JC291843,2019-06-04T20:03:00Z,1330,CRIMINAL TRESPASS,26,Misc Non-Index Offense,"049XX W NORTH AVE, CHICAGO IL"
11502370,JB509311,2018-11-06T21:36:00Z,5001,OTHER OFFENSE,26,Misc Non-Index Offense,"030XX W 51ST ST, CHICAGO IL"
11222070,JB140065,2018-02-03T20:55:00Z,0890,THEFT,06,Larceny (index),"007XX N TRUMBULL AVE, CHICAGO IL"
12599231,JF121083,2022-01-22T23:12:00Z,0320,ROBBERY,03,Robbery (index),"054XX S DAMEN AVE, SKOIE IL"
11582669,JC136604,2019-02-01T18:00:00Z,0486,BATTERY,08B,Simple Battery (index),"007XX E 83RD ST, CHICAGO IL"
11333841,JB288232,2018-05-25T23:25:00Z,4387,OTHER OFFENSE,26,Misc Non-Index Offense,"009XX W ADDISON ST, CHICAGO IL"
12847264,JF420066,2022-10-03T02:30:00Z,0820,THEFT,06,Larceny (index),"031XX S HARDING AVE, CHICAGO IL"
12670189,JF203098,2022-04-10T03:59:00Z,0486,BATTERY,08B,Simple Battery (index),"008XX E 86TH ST, CHICAGO IL"
12053941,JD236181,2020-05-19T02:47:00Z,1310,CRIMINAL DAMAGE,14,Vandalism,"078XX S AVALON AVE, SKOIE IL"
12298958,JE148297,2021-02-22T05:02:00Z,1310,CRIMINAL DAMAGE,14,Vandalism,"009XX W 115TH PL, CHICAGO IL"
12568715,JE478750,2021-12-16T00:17:00Z,1330,CRIMINAL TRESPASS,26,Misc Non-Index Offense,"003XX E ILLINOIS ST, CHICAGO IL"
12061253,JD244680,2020-05-27T20:00:00Z,0486,BATTERY,08B,Simple Battery (index),"052XX W GEORGE ST, CHICAGO IL"
